Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
  157	 43.068351	 43.167637	 42.481868	 42.980942	  min	  0.980464	  0.963669	  0.962863	  0.974731	     
  158	 43.398139	 43.605973	 43.010151	 43.364452	     	  0.980646	  0.965434	  0.965345	  0.975561	     
  159	 42.887191	 43.137269	 42.516606	 42.863283	  min	  0.979805	  0.962867	  0.962570	  0.974109	     
  160	 43.573537	 43.759690	 43.217643	 43.542207	     	  0.980297	  0.965506	  0.966323	  0.975503	     
  161	 42.687149	 42.992734	 42.398013	 42.686500	  min	  0.979127	  0.961447	  0.961669	  0.973271	     
  162	 43.144370	 43.277651	 42.752540	 43.098151	     	  0.979580	  0.962576	  0.963373	  0.974045	     
  163	 42.583757	 43.002453	 42.507829	 42.637851	  min	  0.978442	  0.961108	  0.962258	  0.972856	     
  164	 43.411195	 43.529104	 43.108938	 43.378534	     	  0.979235	  0.963329	  0.965270	  0.974256	     
  165	 42.563323	 42.959402	 42.515992	 42.618837	  min	  0.978096	  0.960383	  0.961994	  0.972460	     
  166	 43.054014	 43.143089	 42.696591	 43.006875	     	  0.978583	  0.960940	  0.962656	  0.972988	     
  167	 42.458987	 42.964381	 42.588827	 42.561012	  min	  0.977511	  0.960232	  0.962317	  0.972099	     
  168	 43.247662	 43.431627	 43.026874	 43.239940	     	  0.978143	  0.962183	  0.964478	  0.973206	     
  169	 42.537978	 42.972709	 42.660762	 42.628029	     	  0.977306	  0.959888	  0.962450	  0.971927	     
  170	 42.894127	 43.096914	 42.730786	 42.899409	     	  0.977570	  0.960108	  0.962523	  0.972152	     
  171	 42.623214	 42.928150	 42.671543	 42.680682	     	  0.977049	  0.959651	  0.962548	  0.971733	     
  172	 43.135878	 43.264747	 42.896506	 43.116071	     	  0.977273	  0.960890	  0.963608	  0.972265	     
  173	 42.536422	 42.881524	 42.594485	 42.601816	     	  0.976440	  0.959187	  0.961900	  0.971141	     
  174	 42.866064	 43.045145	 42.668246	 42.861574	     	  0.976774	  0.959567	  0.961961	  0.971437	     
  175	 42.311111	 42.758688	 42.458025	 42.407122	  min	  0.975528	  0.958258	  0.960960	  0.970222	     
  176	 42.954484	 43.143150	 42.802302	 42.959444	     	  0.976107	  0.959721	  0.962652	  0.971134	     
  177	 42.263990	 42.616304	 42.319184	 42.330031	  min	  0.975194	  0.956907	  0.959839	  0.969587	     
  178	 42.688299	 42.863946	 42.508334	 42.686366	     	  0.975759	  0.957899	  0.960726	  0.970277	     
  179	 41.905497	 42.471085	 42.186529	 42.041340	  min	  0.974069	  0.955736	  0.959008	  0.968503	     
  180	 42.785286	 43.038864	 42.766939	 42.823442	     	  0.974980	  0.958634	  0.962144	  0.970117	     
